P	Q
2.5	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0	0.1016
0.5	0.1016
4.1	0.1016
6.9	0.1778
0	0.1778
5.1	0.127
46	1.651
14.5	0.7112
26.7	1.9812
0.3	0.9398
0	0.4318
0	0.2794
0	0.254
0	0.2286
0	0.2032
1.3	0.1778
0.8	0.1778
3.8	0.1778
3.8	0.1778
40.6	2.5146
0.3	1.0922
1.8	0.6604
41.4	1.143
55.9	12.2174
3	6.477
0	2.5654
0	1.651
0	1.0414
8.9	1.0668
23.4	0.9652
18.8	8.9154
0	3.2004
0	1.9304
0	1.3208
0	0.9398
0	0.762
0.3	0.6604
18.5	0.8382
14.2	1.8034
0	1.6764
0	1.1684
0.5	0.9144
0	0.8128
0	0.7366
0	0.6604
4.8	0.6604
0	0.6604
0	0.635
76.2	4.9022
131.6	58.2676
59.9	18.0086
17.5	8.255
3.8	5.1308
8.1	7.5184
2.8	12.1412
0.8	12.9286
0.8	12.2174
22.6	12.446
5.6	12.9032
0	9.5758
5.1	6.9596
26.7	7.6708
2.3	12.2428
0	6.7818
10.7	4.9784
1.3	4.3688
0	3.6068
0	2.9718
0	2.5908
0	2.3114
19.1	2.1082
27.9	3.4036
13	6.1214
31.5	10.3886
41.9	22.6314
57.2	15.2146
72.4	72.1614
33.5	32.3596
16	22.8092
0	12.954
0	8.0518
35.1	10.8966
1.3	12.0904
3.8	7.366
10.4	6.096
8.4	5.842
2.5	5.6388
0	4.8006
0	3.9624
0	3.302
13.5	2.921
31.5	6.7818
0.8	6.9596
16.8	4.9784
13	7.2136
2.3	9.1948
0	6.8326
0	4.572
0	3.4544
7.9	2.921
5.1	2.7432
0.3	2.4638
11.4	2.2606
1	2.3114
0	2.2352
2.5	2.1082
8.9	1.9812
4.6	1.7272
0.5	1.6764
0	1.6002
0	1.4732
0	1.3716
0	1.3208
7.9	1.5494
4.3	3.0734
0	3.4544
0	3.0734
0	2.8194
0	2.5146
0	2.1844
0	1.905
0	1.7272
0	1.5748
0	1.397
0	1.2954
11.4	1.397
4.3	1.4732
3	1.397
18.5	1.8542
3.6	2.8702
0	2.4892
14	2.2352
19.3	4.191
4.6	5.5118
2	4.0386
19.8	3.3528
22.1	7.7978
0	7.5438
1.3	4.5466
0	3.2258
0	2.5654
20.1	2.4384
6.6	2.3876
0	2.159
0	1.9304
0	1.7272
0.5	1.651
39.1	1.651
33.3	1.6256
19.8	1.4224
38.9	1.4224
14.5	3.8862
1.3	6.0452
1.8	9.0424
2.3	10.2108
10.4	8.763
8.1	7.366
19.1	5.08
11.4	3.7592
0	3.0734
0	3.0988
0	3.7846
0	5.2578
0	6.0452
0	6.6294
0	6.4516
4.1	6.477
10.7	6.6802
26.7	8.2296
22.9	12.0396
12.2	10.4394
59.4	23.114
48.3	36.1442
